Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School,TeamID
2020-2021,Boston College,ACC,7,Mackenzie Fuhrmann,Jr,OH,6-0,10,4,33,NA,34,29,136,0.037,2,NA,2,18,NA,1,22,2,14,46,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,20,Jewel Strawberry,Jr,OH,5-11,9,0,16,NA,0,1,3,-0.333,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,8,Crystal Childs,Jr,OH,5-8,18,10,65,NA,21,9,82,0.146,16,9,11,112,21,NA,4,NA,2,32,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,9,Katelyn DeGuzman,Jr,L/DS,5-1,3,NA,3,NA,0,0,0,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,15,Ashtynne Alberts,Jr,OH,5-11,5,1,7,NA,10,6,32,0.125,NA,1,NA,4,2,1,2,NA,2,13,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,20,Ava Pritchard,Jr,MB,6-0,20,15,66,NA,106,45,255,0.239,3,1,NA,10,1,2,52,3,31,135,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,22,Solei Thomas,Jr,OH,5-11,22,15,83,NA,204,98,524,0.202,9,6,12,70,NA,2,43,7,30.5,233.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,3,Mackenzie Cole,Jr,DS,5-10,86,NA,86,NA,8,2,40,0.15,93,38,30,396,8,NA,NA,NA,NA,46,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,4,Lily Cooper,Jr,MB,6-5,22,22,84,NA,144,40,338,0.308,2,NA,NA,6,1,10,70,4,49,189,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,8,Ade Owokoniran,Jr,MB,6-3,21,19,83,NA,243,122,684,0.177,7,8,24,110,22,4,46,5,32,278,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,10,Alex Springate,Jr,S,5-9,22,22,85,NA,14,7,48,0.146,551,8,28,181,NA,NA,8,2,6,26,11,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,1,Taylor Roberts,Jr,L,5-4,3,NA,3,NA,0,0,0,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,11,Marissa Stockman,Jr,MB,6-2,8,3,18,NA,13,5,33,0.242,2,NA,NA,7,NA,1,24,2,15,26,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,17,Adrian Ell,Jr,S,6-3,4,NA,4,NA,5,4,19,0.053,NA,NA,NA,1,NA,NA,3,NA,1.5,6.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,6,Maddie Tippett,Jr,L/DS,5-6,62,NA,62,NA,1,0,5,0.2,42,6,14,193,26,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,11,Breland Morrissette,Jr,MB,6-1,18,NA,18,NA,8,4,19,0.211,NA,NA,NA,3,NA,3,13,NA,9.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,13,Mariana Brambilla,Jr,OH,5-11,19,19,64,NA,270,78,603,0.318,15,17,13,184,1,3,30,2,20,305,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,22,Matti McKissock,Jr,S,5-9,16,14,48,NA,9,4,43,0.116,476,1,11,68,NA,1,9,1,6.5,15.5,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,24,Mikaila Dowd,Jr,OH,6-1,19,19,64,NA,145,54,375,0.243,6,16,9,143,22,5,18,4,18,175,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,25,Kayla Kaiser,Jr,MB,6-1,19,19,63,NA,71,20,148,0.345,12,14,15,38,NA,2,30,6,23,102,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,9,Claire Chaussee,Jr,OH,6-0,18,13,53,1,146,55,374,0.243,11,8,14,85,7,1,22,2,15,166,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,11,Anna Stevenson,Jr,MB,6-1,18,18,61,1,145,35,271,0.406,7,10,9,26,1,22,57,6,56.5,205.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,12,Tori Dilfer,Jr,S,5-10,16,16,54,1,31,10,84,0.25,581,12,16,114,NA,NA,32,10,26,59,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,17,Mia Stander,Jr,L/DS,-,12,0,24,NA,1,0,2,0.5,1,1,6,13,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,22,Jamie Vasilou,Jr,S,5-5,1,0,1,NA,0,0,0,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,10,Priscilla Hernandez,Jr,DS,5-8,70,NA,70,NA,0,0,3,0,57,22,18,262,22,NA,NA,NA,NA,22,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,15,Emily Damon,Jr,DS,5-8,16,9,62,NA,3,4,16,-0.063,12,NA,4,91,8,NA,4,1,3,5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,1,Kaylee Frazier,Jr,L/DS,5-9,15,0,55,NA,3,0,9,0.333,45,NA,NA,182,9,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,7,Pam Chukwujekwu,Jr,MB,6-2,17,17,57,NA,63,28,161,0.217,1,8,25,15,2,1,50,1,27,97,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,10,Savannah Bryant,Jr,OH,5-10,16,8,50,NA,0,2,9,-0.222,8,4,7,84,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,15,Jade Parchment,Jr,OH,-,17,17,58,NA,219,84,572,0.236,8,15,32,123,9,1,18,NA,10,244,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,1,Destiny Cox,Jr,OH,6-1,8,7,32,NA,83,39,219,0.201,1,NA,5,24,NA,1,23,5,17.5,95.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,5,Annabelle Archer,Jr,S,5-8,18,12,68,1,10,3,27,0.259,415,12,12,96,NA,1,6,1,5.5,26,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,7,Amanda Phegley,Jr,MH,6-4,18,16,67,1,124,55,291,0.237,3,NA,NA,12,NA,2,50,9,36,151,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,12,Erin Boone,Jr,OPP,6-1,2,NA,2,NA,0,0,2,0,NA,NA,NA,NA,NA,NA,1,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,16,Emily Zinger,Jr,RS,6-3,10,7,39,NA,70,37,248,0.133,NA,4,2,41,1,1,28,4,18.5,89,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,2,Zoe Nunez,Jr,S,5-10,19,19,71,NA,29,8,120,0.175,753,25,24,224,NA,NA,35,2,19.5,71.5,15,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,3,Sydney Bent,Jr,RS,6-0,3,1,10,NA,18,12,60,0.1,NA,NA,NA,5,1,NA,6,NA,3,21,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,5,Charley Niego,Jr,OH,6-0,17,17,62,NA,244,79,653,0.253,20,27,10,179,17,NA,23,1,12.5,282.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,6,Lauren Wenzel,Jr,MB,6-0,6,3,16,NA,16,7,54,0.167,NA,NA,NA,1,NA,1,20,1,12,27,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,13,Lexi Saulny,Jr,L,5-3,10,NA,10,NA,0,0,0,NA,NA,NA,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,11,Sabrina Starks,Jr,MB,6-2,24,24,88,1,136,33,273,0.377,10,11,17,29,2,13,103,5,70.5,211.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,18,Jordan Lockwood,Jr,OH,6-2,76,NA,76,NA,114,67,316,0.149,NA,NA,NA,18,1,2,42,2,25,137,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,5,Elena Karakasi,Jr,S,6-0,16,13,58,NA,35,11,108,0.222,467,5,9,112,NA,3,16,3,14,51,8,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,11,Polina Shemanova,Jr,OH,6-0,8,8,27,NA,90,56,271,0.125,1,2,7,93,4,7,12,4,17,105,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,11,Milla Ciprian,Jr,MB,6-2,5,5,19,NA,44,11,101,0.327,1,2,2,8,NA,1,17,4,13.5,55.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,22,Kristen Leland,Jr,L/DS,5-4,10,0,28,NA,0,0,1,0,2,2,6,24,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,6,Angel Robinson,Jr,MB,6-0,17,17,63,NA,85,20,220,0.295,NA,5,12,23,NA,6,54,6,39,123,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,11,Sarah Jane Lynch,Jr,S,6-2,18,NA,18,NA,2,0,16,0.125,28,4,2,38,2,NA,2,NA,1,7,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,23,Talyn Jackson,Jr,S,5-11,10,7,34,NA,2,2,8,0,173,5,7,56,NA,NA,NA,NA,NA,7,9,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,11,Michelle Polechonski,Jr,MB,6-2,5,NA,5,NA,0,2,4,-0.5,NA,NA,2,1,NA,NA,1,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,12,Peyton Washington,Jr,L/DS,5-8,8,NA,8,NA,0,0,0,NA,1,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,15,Olivia Saunders,Jr,MB,6-2,5,3,14,NA,33,12,67,0.313,NA,NA,NA,7,NA,1,9,1,6.5,38.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,21,Abby Krueger,Jr,OH,6-3,11,NA,11,NA,12,7,42,0.119,3,NA,2,6,1,NA,1,1,1.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,3,Sam Rickert,Jr,S,5-10,15,13,49,NA,13,3,56,0.179,422,5,7,118,3,3,12,1,10,27,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,10,Julia Dailey,Jr,OH,5-10,12,3,27,NA,53,39,171,0.082,NA,NA,NA,9,1,NA,1,NA,0.5,53.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,12,Bailey Roszman,Jr,OH,6-0,13,7,36,NA,73,55,237,0.076,3,2,5,34,6,2,16,2,13,85,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,20,Abbie Stefanon,Jr,OH,5-11,14,6,36,NA,77,44,290,0.114,1,NA,NA,23,1,1,10,2,8,83,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,7,Dana Axner,Jr,L,5-8,59,NA,59,NA,0,0,4,0,56,15,14,270,9,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,10,Chelsey Lockey,Jr,S,5-9,17,17,59,NA,46,7,127,0.307,677,11,9,128,NA,NA,33,1,17.5,73.5,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,22,Tori Morris,Jr,MB,6-0,2,2,8,NA,19,7,37,0.324,NA,NA,1,1,NA,3,10,NA,8,27,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,4,Isa Dostal,Jr,MB,6-0,15,11,55,1,92,41,268,0.19,5,NA,NA,24,NA,5,27,2,21,110.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,8,Barbora Romancova,Jr,MB,6-1,17,14,60,1,95,77,355,0.051,5,9,23,49,NA,4,27,7,22.5,121.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,18,Autumn DeSantis,Jr,MB,5-10,12,9,45,1,78,52,287,0.091,3,2,9,27,1,8,19,NA,18,97.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,1,Bri Becerra,Jr,DS,5-4,14,4,49,NA,0,0,2,0,9,8,5,90,12,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,6,Jessie Cohen,Jr,S,5-10,14,14,48,NA,17,3,46,0.304,516,12,15,69,NA,1,17,3,12.5,38.5,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,11,Katie Crocker,Jr,RS,6-1,10,8,32,NA,16,3,58,0.224,NA,NA,NA,6,NA,NA,26,2,15,29,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,12,Dani Ballou,Jr,OH,5-10,40,NA,40,NA,116,50,278,0.237,NA,1,1,17,NA,4,11,1,10.5,126.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,5,Lilly Kruse,Jr,OH,5-10,47,NA,47,NA,1,1,3,0,44,7,28,156,28,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,20,Aspen Thompson,Jr,RS,5-10,12,7,28,NA,38,14,114,0.211,7,8,7,55,1,NA,21,2,12.5,56.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,6,Rachel Murphy,Jr,MB,6-0,9,NA,9,NA,2,5,12,-0.25,NA,NA,NA,1,NA,2,1,1,3.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,11,Logan Gish,Jr,OH,6-2,8,4,18,NA,33,12,81,0.259,NA,NA,1,4,NA,NA,3,NA,1.5,34.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,12,Garrett Joiner,Jr,OH,6-3,14,4,42,NA,69,28,205,0.2,1,NA,1,13,NA,1,10,2,8,75,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,18,Lanie Wagner,Jr,OH,6-1,17,4,39,NA,76,34,188,0.223,1,NA,NA,22,3,1,8,2,7,81,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,7,Solimar Cestero,Jr,OH,6-0,20,19,74,NA,197,91,571,0.186,7,1,6,72,1,4,21,4,18.5,212.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,8,Grace Peterson,Jr,OPP,6-1,4,1,5,NA,1,1,6,0,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,10,Grace Youngblood,Jr,OH,5-11,19,1,67,NA,2,1,10,0.1,1,20,22,21,2,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,11,Bre Walp,Jr,MB,6-2,20,19,76,NA,161,80,434,0.187,2,NA,NA,22,NA,7,61,5,42.5,198.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,12,Kirby Smith,Jr,OH,6-1,12,NA,12,NA,21,5,48,0.333,NA,1,4,18,NA,1,3,NA,2.5,24.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,18,Alessia Venturelli,Jr,L/DS,5-7,14,1,37,NA,0,0,2,0,8,NA,11,46,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,4,Alexis Thompson,Jr,MB,5-10,13,12,48,NA,89,32,232,0.246,NA,6,10,58,NA,10,30,2,27,120,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,5,Alejandra Perez,Jr,OH,5-8,13,13,46,NA,55,37,229,0.079,9,4,12,136,17,1,3,1,3.5,61.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,9,Lindsey Leipold,Jr,S,5-7,13,NA,13,NA,0,0,0,NA,1,NA,3,21,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,1,Emily Rail,Jr,DS,5-3,25,NA,25,NA,1,0,1,1,14,3,5,47,8,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,3,Kiara Adams,Jr,S,-,5,5,15,NA,9,1,22,0.364,132,4,11,41,NA,NA,3,NA,1.5,14.5,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,4,Tyra Wilson,Jr,MB,6-3,12,12,41,NA,55,42,181,0.072,2,6,19,18,1,5,24,1,18,78,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,11,Valerie Diede,Jr,MB,6-2,3,3,7,NA,14,4,33,0.303,NA,NA,4,2,NA,NA,4,NA,2,16,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,19,Alex Lucero,Jr,L/DS,5-7,29,NA,29,NA,1,0,3,0.333,16,1,11,121,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,3,Udo Nwosu,Jr,OH,5-8,11,8,29,NA,60,31,230,0.126,6,1,4,57,22,NA,NA,3,3,61,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,10,Michaela Dungan,Jr,MB,6-0,8,4,22,NA,6,9,36,-0.083,1,NA,1,4,NA,2,16,5,15,16,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,17,Makayla Greenfield,Jr,S,5-9,41,NA,41,NA,0,1,1,-1,NA,6,NA,16,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Hampshire,America East,3,Kate Bilyeu,Jr,OH,6-0,8,7,27,NA,65,32,209,0.158,4,11,3,76,4,1,7,NA,4.5,80.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Hampshire,America East,18,Abby Sullivan,Jr,MB,5-11,9,8,29,NA,73,21,150,0.347,1,NA,NA,3,NA,6,19,2,17.5,88.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Hampshire,America East,21,Ari Pola,Jr,RS,5-11,8,6,26,NA,43,20,134,0.172,1,NA,NA,12,NA,2,14,1,10,52,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,3,Paige Jaeger,Jr,L,5-6,5,0,14,NA,0,0,1,0,3,2,2,28,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,4,Hailey Barden,Jr,OH,5-7,13,8,44,1,41,20,190,0.111,7,2,2,77,7,NA,4,NA,2,45,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,7,Nia Wattley,Jr,MB,6-1,5,5,21,1,52,22,106,0.283,1,NA,NA,3,NA,4,5,2,8.5,58.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,15,Sabrina Patriciello,Jr,L,5-7,15,3,55,NA,4,0,8,0.5,6,13,13,126,4,NA,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,16,Enitan Omolewa,Jr,MB,6-0,12,12,45,1,96,37,259,0.228,4,20,18,22,NA,4,28,1,21.5,134,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,2,Regan Wright,Jr,OH,5-11,9,9,33,NA,61,36,216,0.116,8,4,16,94,9,NA,7,2,5.5,68.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,3,Charlotte Macken,Jr,L/DS,5-3,51,NA,51,NA,0,0,7,0,54,11,13,234,11,NA,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,4,Olivia Dykstra,Jr,OH,5-10,1,NA,1,NA,0,1,2,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,5,Maddie Stone,Jr,S,5-9,28,NA,28,NA,1,1,16,0,107,6,7,40,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,12,Andersen Vaughan,Jr,S,6-0,10,2,37,NA,11,0,28,0.393,164,12,6,49,NA,NA,NA,NA,NA,23,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,16,ShaLi Niu,Jr,RS,6-1,13,5,51,NA,76,23,235,0.226,3,NA,NA,37,NA,NA,34,NA,17,93,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,18,Anna Chalupa,Jr,L/DS,5-3,44,NA,44,NA,0,0,0,NA,2,3,1,32,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,19,Selah Malcoln,Jr,OH,5-10,13,8,51,NA,71,33,231,0.165,2,NA,NA,26,NA,1,31,4,20.5,87.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,24,Taylor Didawick,Jr,L/DS,5-7,1,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UMBC,America East,10,Paige Krenik,Jr,OH,5-11,6,5,22,NA,30,17,100,0.13,4,NA,6,59,5,NA,5,NA,2.5,32.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,2,Annalyse Kitzberger,Jr,OH,5-11,6,1,18,1,44,11,118,0.28,NA,1,5,16,6,1,2,NA,3,47,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,6,Caroline Mohler,Jr,OPP,6-1,6,1,11,NA,13,6,25,0.28,NA,NA,NA,5,NA,NA,3,NA,2.5,14.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,7,Hattie Rodriguez,Jr,OH,5-11,9,8,31,5,96,40,299,0.187,3,3,12,63,16,2,7,1,8,104.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,12,Lauryn Albold,Jr,MH,6-0,13,11,46,7,22,16,97,0.062,5,NA,2,18,NA,1,31,2,26.5,38.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,17,Malia Kay,Jr,OH,5-10,9,5,30,3,48,25,172,0.134,1,3,5,53,8,3,6,2,8.5,57,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,2,Maura Collins,Jr,L/DS,5-6,16,0,56,NA,3,0,9,0.333,51,19,15,233,12,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,3,Elizabeth House,Jr,L/DS,5-5,15,0,39,NA,1,0,1,1,2,2,5,20,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,5,Alli Papesh,Jr,OH,6-1,8,0,13,NA,0,0,2,0,1,2,NA,2,NA,NA,2,NA,1.5,3,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,10,Jamie Peterson,Jr,OH,6-4,16,16,57,4,240,68,567,0.303,19,32,34,123,21,NA,37,2,25.5,290.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,12,Molly Asmus,Jr,MB,6-1,12,1,24,NA,10,3,23,0.304,NA,NA,NA,NA,NA,NA,11,1,7.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duquesne,Atlantic 10,5,Summer Slade,Jr,OH,6-0,9,9,29,1,58,40,240,0.075,3,6,2,66,19,2,9,NA,6.5,70.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duquesne,Atlantic 10,8,Ego Onu,Jr,MH,5-11,2,2,7,NA,5,2,17,0.176,1,NA,NA,1,NA,1,6,1,5,9,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duquesne,Atlantic 10,10,Camryn Thomas,Jr,MH,6-0,8,8,23,1,27,18,81,0.111,3,4,4,12,NA,NA,11,4,8.5,36.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duquesne,Atlantic 10,13,Nicolette Jones,Jr,MH,6-2,3,2,7,NA,6,10,20,-0.2,NA,NA,1,NA,NA,NA,4,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duquesne,Atlantic 10,15,Brittne Weigand,Jr,DS,5-7,9,NA,9,NA,0,0,0,NA,NA,1,NA,9,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Fordham,Atlantic 10,5,Bella Urena,Jr,MB,6-0,9,6,26,1,41,23,167,0.108,4,1,3,65,9,NA,14,NA,7,49,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Fordham,Atlantic 10,8,Joey Landeros,Jr,OH,6-1,9,6,23,3,36,27,139,0.065,5,2,9,50,5,NA,15,1,11.5,45.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Fordham,Atlantic 10,9,Claire O'Neil,Jr,MB,6-2,2,1,4,1,2,3,11,-0.091,NA,NA,NA,1,NA,1,2,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Mason,Atlantic 10,2,Marlanna Bozicevich,Jr,L,5-10,13,6,50,1,49,30,184,0.103,18,7,10,208,15,NA,9,NA,4.5,60.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Mason,Atlantic 10,8,Katie Parmalee,Jr,MB,6-1,14,12,50,4,119,59,346,0.173,3,8,11,34,4,4,42,8,39,152,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Mason,Atlantic 10,15,Erin Derick,Jr,S,5-10,15,13,57,5,26,12,106,0.132,484,12,18,139,NA,2,22,2,16.5,51,22,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Mason,Atlantic 10,17,Peyton Ehmke,Jr,MB,6-1,15,15,57,5,138,68,371,0.189,3,NA,NA,12,NA,8,42,4,35.5,167,NA,NA,NA,NA,NA,NA,NA,NA
