Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School
2020-2021,Boston College,ACC,2,Silvia Ianeselli,So,OH,6-1,15,5,42,NA,67,35,233,0.137,NA,7,1,46,3,5,8,3,12,83,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,3,Gabby McCaa,So,MB,6-3,18,18,60,NA,69,28,153,0.268,2,4,6,16,1,12,48,6,42,109,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,6,Torey Baum,So,L,5-8,5,NA,5,NA,0,0,4,0,NA,NA,2,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,12,Izzy Clavenna,So,RS,6-2,18,5,52,NA,73,35,221,0.172,1,NA,NA,18,NA,2,20,2,14,85,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,15,Payton Hielscher,So,S,6-1,6,NA,6,NA,0,0,1,0,3,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,18,Mckenna Slavik,So,S,6-1,22,22,86,NA,72,12,216,0.278,841,15,10,207,NA,3,29,NA,17.5,104.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,19,Caitlyn Meeks,So,L/DS,5-9,63,NA,63,NA,1,2,16,-0.063,37,6,13,207,27,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,34,Ani Clark,So,MB,6-3,15,13,52,NA,73,33,162,0.247,3,7,12,17,NA,11,25,5,28.5,103.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,1,Camille Nazor,So,S,6-1,20,1,64,NA,23,6,51,0.333,207,3,8,70,1,1,10,NA,6,32,10,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,2,Moorea Wood,So,OH,6-2,23,NA,23,NA,25,12,58,0.224,NA,NA,1,1,1,NA,2,NA,1,26,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,7,Gracie Johnson,So,OH,6-0,22,21,85,NA,223,113,688,0.16,5,11,25,143,19,1,43,4,26.5,256.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,16,Lizzie Fleming,So,MB,6-3,22,16,86,NA,140,35,420,0.25,5,11,13,37,1,4,74,4,45,192,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,3,Morgan Chacon,So,OH,5-11,18,18,65,NA,183,60,535,0.23,10,17,12,161,16,1,21,2,13.5,211.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,7,Lily Tessier,So,S,6-3,13,5,34,NA,12,0,24,0.5,129,7,2,36,1,NA,5,NA,2.5,21.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,10,Jessica Nunge,So,OH,6-2,18,16,63,NA,79,31,273,0.176,16,12,10,100,18,1,31,1,17.5,107.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,16,Emma Clothier,So,MB,6-2,18,18,61,NA,165,27,286,0.483,13,22,9,33,2,8,54,5,40,222,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,23,Lauryn Burrows,So,OH,5-8,63,NA,63,NA,4,9,27,-0.185,18,7,13,148,10,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,4,Paola Laborda,So,L/DS,5-7,2,NA,2,NA,0,0,0,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,17,Julia Bergmann,So,OH,6-5,19,19,64,NA,269,94,682,0.257,9,30,27,186,6,11,16,4,23,318,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,23,Erin Moss,So,MB,6-2,19,19,64,NA,100,26,180,0.411,6,NA,NA,19,NA,12,41,7,39.5,132.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,3,Nena Mbonu,So,OH,6-0,14,6,36,1,78,32,180,0.256,NA,NA,1,10,NA,2,8,2,8.5,84,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,4,Alexa Hendricks,So,L/DS,5-7,13,0,35,NA,1,0,1,1,5,NA,1,31,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,15,Aiko Jones,So,OPP,6-2,18,18,61,1,168,71,410,0.237,3,18,24,65,4,7,57,2,37.5,221.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,20,Rachael DeMarcus,So,S,5-7,5,2,10,NA,7,3,21,0.19,87,1,NA,10,NA,NA,2,NA,1,9,2,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,25,Amaya Tillman,So,MB,6-3,17,17,58,1,79,27,186,0.28,NA,NA,1,5,NA,23,77,3,65,140.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,1,Savannah Vach,So,S,5-11,18,18,70,NA,35,9,97,0.268,709,13,15,156,NA,4,21,2,16.5,62.5,16,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,2,Amanda Falck,So,DS,5-7,37,NA,37,NA,2,0,2,1,55,7,8,71,4,NA,NA,NA,NA,9,2,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,5,Kennedy Prince,So,OH,6-0,7,7,25,NA,11,9,43,0.047,3,NA,NA,1,NA,1,21,NA,11.5,22.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,12,Taylor Burrell,So,OH,6-0,9,6,26,NA,26,10,66,0.242,3,7,13,19,NA,1,15,1,9.5,41.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,14,Angela Grieve,So,OH,6-0,18,18,70,NA,222,94,620,0.206,12,24,34,139,29,13,16,5,26,267,3,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,17,Janice Leao,So,MB,6-3,8,8,33,NA,81,11,148,0.473,3,10,9,9,NA,1,35,NA,18.5,109.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,4,Hannah Reid,So,S,5-9,12,0,25,NA,0,0,0,NA,NA,3,12,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,5,Kristen McDaniel,So,S,5-9,17,17,61,NA,33,11,78,0.282,602,9,19,178,1,1,28,5,20,57,15,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,6,Hannah Wander,So,DS,5-5,17,3,55,NA,0,0,0,NA,17,7,8,76,13,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,8,Daniela McDonald,So,OH,6-1,2,NA,2,NA,2,1,6,0.167,NA,NA,NA,NA,NA,NA,1,NA,0.5,2.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,12,Taylor Rowland,So,OH,6-3,26,NA,26,NA,60,32,200,0.14,3,5,6,17,6,2,6,NA,5,70,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,30,Lydia Adam,So,MH,6-0,14,3,41,NA,72,41,242,0.128,1,NA,2,19,3,NA,8,2,6,76,1,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,6,Niki Khoshatefeh,So,MB,6-2,9,1,17,NA,11,3,20,0.4,2,NA,1,4,NA,2,13,2,11.5,19.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,8,Skyy Howard,So,MB,6-3,11,8,39,1,75,40,218,0.161,1,NA,1,24,NA,3,44,6,32.5,100,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,13,Carly Peck,So,OH,5-11,8,2,26,NA,34,25,133,0.068,2,NA,NA,7,1,NA,11,NA,5.5,39.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,15,Ryan Shannon,So,L/DS,5-6,18,2,58,NA,0,2,10,-0.2,10,10,9,86,11,NA,NA,NA,NA,10,1,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,21,Karenna Wurl,So,L/DS,5-10,16,1,61,NA,2,0,6,0.333,65,20,18,252,6,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,23,Parker Austin,So,OH,6-2,14,12,48,1,132,61,419,0.169,10,8,11,100,14,2,25,5,19.5,154.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,1,Sammi Lockwood,So,MB,6-3,6,NA,6,NA,1,1,7,0,NA,NA,NA,1,NA,NA,4,NA,2,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,4,Nancy Kane,So,S,5-11,14,4,51,NA,4,1,10,0.3,7,9,15,102,3,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,9,Kiara Schmidt,So,L,5-6,16,3,58,NA,1,0,6,0.167,13,5,24,107,10,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,16,Caroline Meuth,So,OH,5-11,19,18,70,NA,202,81,563,0.215,9,9,18,119,NA,4,64,6,42,247,2,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,1,Lexis Akeo,So,S,5-8,24,10,88,NA,7,3,20,0.2,515,16,15,155,2,NA,4,1,3,25,7,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,4,Ashley Browske,So,L/DS,5-10,73,NA,73,NA,0,3,7,-0.429,61,5,13,199,18,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,20,Chiamaka Nwokolo,So,MB,6-1,24,22,88,NA,152,30,297,0.411,7,3,6,36,NA,5,72,5,48,196,1,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,3,Marina Markova,So,OH,6-5,8,8,27,NA,67,17,143,0.35,2,8,15,12,1,3,26,3,19,91,1,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,8,Berkley Hayes,So,DS,5-6,34,NA,34,NA,1,0,5,0.2,3,1,5,27,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,9,Lauren Woodford,So,S,5-8,14,3,36,NA,4,1,21,0.143,91,1,12,17,NA,NA,2,1,2,6,3,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,16,Abby Casiano,So,MB,6-2,16,16,59,NA,111,17,260,0.362,3,5,5,31,NA,11,53,11,48.5,153.5,3,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,19,Izzy Plummer,So,MB,6-3,8,8,32,NA,25,11,71,0.197,1,NA,NA,10,NA,1,18,6,16,35,2,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,23,Viktoriia Lokhmanchuk,So,OH,6-5,14,7,43,NA,95,68,303,0.089,1,7,4,40,2,1,12,3,10,109,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,1,Josi Williams,So,L/DS,5-4,10,0,21,NA,1,0,2,0.5,3,NA,1,11,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,9,Jayna Francis,So,OH,6-0,13,9,40,NA,82,45,237,0.156,2,2,19,50,15,1,15,1,9.5,92.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,10,Maddie Boylston,So,S,5-10,16,NA,16,NA,0,1,2,-0.5,58,4,3,16,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,13,Mattison Matthews,So,MB,5-11,14,14,48,NA,74,29,175,0.257,1,2,8,5,1,7,43,2,30.5,104.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,19,Grace Turner,So,OH,6-3,12,9,38,NA,93,58,293,0.119,4,8,14,62,8,NA,13,3,9.5,107.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,23,Simone Dominique,So,OH,6-0,5,1,11,NA,8,6,40,0.05,NA,1,1,9,2,NA,3,NA,1.5,10.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,2,Anabel Zier,So,MB,6-2,6,4,14,NA,14,6,40,0.2,2,NA,NA,2,1,1,4,1,4,17,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,3,Cera Powell,So,OH,6-0,16,3,50,NA,46,22,157,0.153,1,NA,NA,11,NA,1,12,1,8,53,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,4,Logan Mosley,So,L/DS,5-6,57,NA,57,NA,1,1,9,0,53,9,15,192,11,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,1,Peyton Suess,So,OH,6-1,16,13,55,1,108,57,336,0.152,1,3,7,52,7,1,17,2,12,120.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,7,Delaney McSweeney,So,MB,6-7,5,1,12,NA,12,4,30,0.267,1,NA,1,5,NA,3,8,NA,7.5,19,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,8,Zoe Gonzales,So,MB,6-3,13,12,42,1,30,12,66,0.273,2,6,12,15,NA,1,35,2,21.5,54.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,4,Ashley Price,So,OPP,5-10,11,8,36,NA,67,51,227,0.07,4,NA,NA,11,NA,1,12,NA,7,74,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,9,Jayme Scott,So,OH,5-11,1,NA,1,NA,5,1,10,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,14,Hannah Brown,So,MH,5-11,14,13,47,NA,113,51,260,0.238,2,NA,3,15,NA,3,28,1,18,130,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,25,Emily Ernst,So,DS,5-6,17,6,60,NA,1,1,7,0,11,6,11,116,16,NA,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,1,Aja Jones,So,MB,6-1,15,15,50,NA,107,36,234,0.303,NA,NA,2,22,NA,7,62,4,42,145,1,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,4,Shelby Beisner,So,DS,5-9,15,2,44,NA,0,1,3,-0.333,3,9,13,34,4,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,6,Erin Shomaker,So,OH,6-2,15,15,51,NA,242,70,570,0.302,7,27,18,152,11,3,25,1,16.5,284.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,9,Emma Szypszak,So,OH,6-1,15,13,51,NA,66,30,185,0.195,NA,NA,NA,17,NA,1,35,1,19.5,84.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,5,Addyson Lewis,So,L/DS,5-4,15,5,53,NA,0,1,1,-1,7,16,24,121,19,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,6,Abby Jackson,So,L/DS,5-7,3,1,6,NA,0,0,0,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,10,Sydney Bolding,So,MB,6-5,16,15,53,1,121,37,289,0.291,1,1,9,11,NA,13,32,3,32.5,151,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,13,Madison Dagenhart,So,S,6-2,7,3,18,NA,3,1,9,0.222,25,1,1,42,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,8,Shelby Dennis,So,OH,5-8,14,10,49,NA,0,0,6,0,13,7,3,86,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,9,Lanie Vantrease,So,OH,5-11,17,NA,17,NA,35,15,88,0.227,NA,2,NA,7,NA,NA,4,NA,2,39,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,16,Emma Schurfranz,So,RS,6-1,14,14,49,NA,168,59,331,0.329,3,12,30,21,NA,4,36,3,25,202,1,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,19,Chelsey Abel,So,MB,6-1,7,6,21,NA,28,12,74,0.216,4,NA,NA,3,1,1,22,1,13,40,NA,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,9,Abby Phillips,So,OH,5-7,8,1,20,NA,22,11,76,0.145,1,NA,3,12,2,NA,7,NA,3.5,25.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,11,Sarah Shanton,So,RS,6-1,2,NA,2,NA,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,13,Rajini Fitzmaurice,So,OH,5-8,14,14,47,NA,130,57,379,0.193,15,15,20,110,7,NA,23,1,12.5,156.5,4,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,15,Caitie Mueller,So,S,5-11,16,NA,16,NA,3,1,5,0.4,33,2,3,19,NA,NA,NA,1,1,5,2,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,19,Saige Weaver,So,OPP,6-0,28,NA,28,NA,0,0,0,NA,NA,8,14,3,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,2,Bree Thompson,So,OH,6-0,5,2,11,NA,15,5,45,0.222,NA,NA,NA,5,NA,NA,4,NA,2,17,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,8,Brooke Phillips,So,S,5-9,13,5,24,NA,11,4,26,0.269,179,7,14,36,NA,1,4,2,5,21,4,NA,NA,NA,NA,NA,NA
2020-2021,North Ala.,ASUN,1,Elizabeth Ford,So,L/DS,5-8,10,2,20,NA,0,2,3,-0.667,1,3,6,27,12,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Ala.,ASUN,5,Claire Bullington,So,DS,5-10,12,9,42,NA,11,11,47,0,4,6,10,71,13,NA,NA,1,1,17,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Ala.,ASUN,6,Anna Katherine Griggs,So,MB,6-2,14,14,48,NA,66,30,183,0.197,1,NA,NA,10,NA,5,48,6,35,95,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Ala.,ASUN,15,Breylee Linder,So,S,5-7,14,11,48,NA,15,3,49,0.245,162,6,7,70,NA,NA,NA,2,2,21,3,NA,NA,NA,NA,NA,NA
2020-2021,North Ala.,ASUN,20,Sarah-Elizabeth Williams,So,OPP,6-1,14,3,48,NA,31,30,150,0.007,NA,NA,NA,16,1,4,28,NA,18,49,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Ala.,ASUN,25,Maggie Sullivan,So,MB,6-1,14,14,48,NA,83,31,210,0.248,2,6,15,27,3,6,51,6,37.5,120.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,4,Rocio Moro,So,L/DS,5-5,76,NA,76,NA,6,1,14,0.357,59,14,16,398,11,NA,NA,NA,NA,20,6,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,5,Julianna Askew,So,S,6-0,20,20,76,NA,80,27,221,0.24,758,29,42,161,NA,2,39,5,26.5,130.5,10,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,20,Maddie Boyd,So,MB,6-2,20,20,76,NA,90,35,233,0.236,NA,NA,NA,12,NA,12,50,5,42,127,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,3,Yamelis Mojica,So,OH,6-0,14,11,50,NA,77,36,285,0.144,3,NA,1,40,NA,7,29,1,22.5,98.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,10,Elena Djokovic,So,OH,6-1,12,11,42,NA,164,64,491,0.204,16,3,6,138,14,6,7,4,13.5,176.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,13,Kennedy Muldrow,So,MB,6-0,6,5,19,NA,18,9,63,0.143,1,NA,NA,1,1,1,10,10,16,24,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,16,Madison Baynard,So,MB,6-3,1,1,2,NA,0,1,9,-0.111,NA,NA,NA,NA,NA,NA,1,NA,0.5,0.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,22,Kaylee Oscarson,So,MB,6-5,13,12,45,NA,100,35,248,0.262,4,2,4,24,2,6,23,5,22.5,119.5,2,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,12,Audrey Haworth,So,OH,5-10,12,0,37,NA,3,4,9,-0.111,16,8,8,96,12,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,15,Emma Rainville,So,S,5-5,7,7,27,NA,5,2,33,0.091,227,NA,5,51,NA,NA,NA,4,4,5,9,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,21,Regon Kennedy,So,DS,5-5,1,0,1,NA,0,0,0,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,22,Anna Sprys,So,MH,6-0,12,12,42,NA,74,27,191,0.246,1,NA,1,5,1,4,29,3,21.5,92.5,1,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,3,Lika Nkenchor,So,RS,5-10,18,NA,18,NA,0,0,1,0,2,NA,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,9,Robin Helms,So,MB,6-2,8,6,25,NA,28,23,88,0.057,2,NA,1,7,1,1,8,2,7,33,1,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,12,Maddie Lindsay,So,OH,6-2,8,5,27,NA,103,46,307,0.186,5,3,4,45,11,2,7,NA,5.5,111.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,13,Sara Gasparotto,So,DS,6-1,9,NA,9,NA,2,2,10,0,NA,NA,NA,1,NA,1,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,21,Greta De Gasper,So,L/DS,5-10,10,5,33,NA,7,9,27,-0.074,5,7,9,53,7,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,4,Adriana Goetz-Morales,So,OH,5-10,12,7,38,NA,77,59,238,0.076,1,9,12,29,3,NA,20,2,12,96,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,5,CJ Trevino,So,L,5-9,12,1,40,NA,0,0,1,0,2,4,12,13,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,6,Courtney Branch,So,MH,6-0,12,12,44,NA,58,22,148,0.243,2,3,9,13,NA,6,28,NA,20,81,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,12,Juliana Impaglia,So,S,5-7,22,NA,22,NA,1,0,4,0.25,41,3,6,20,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,13,Emma Godwin,So,RS,6-0,11,9,35,NA,60,39,229,0.092,3,4,3,64,9,NA,8,NA,4,68,NA,NA,NA,NA,NA,NA,NA
2020-2021,NJIT,America East,16,Katelyn Bliesner,So,MB,6-2,11,8,26,NA,24,19,61,0.082,NA,NA,1,7,1,1,13,2,9.5,31.5,3,NA,NA,NA,NA,NA,NA
2020-2021,New Hampshire,America East,6,Hannah Crist,So,RS,6-0,8,1,19,NA,24,14,90,0.111,NA,NA,NA,2,NA,NA,13,1,7.5,30.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Hampshire,America East,10,Wren Macaulay,So,S,5-9,8,1,30,NA,9,1,22,0.364,101,6,17,54,NA,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA
2020-2021,New Hampshire,America East,17,Erin Hedrick,So,RS,5-11,9,1,22,NA,21,9,89,0.135,NA,NA,NA,7,NA,NA,6,NA,3,24,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,1,Julia Kim,So,S,5-11,4,4,15,1,6,4,23,0.087,129,1,5,26,NA,3,6,NA,8.5,13,6,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,14,Amiyah De'Long,So,OH,6-0,11,7,40,1,101,45,315,0.178,3,1,NA,32,5,5,6,1,9.5,110,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,6,Malea Stanton,So,S,5-9,11,11,43,NA,12,3,41,0.22,244,8,5,104,NA,NA,NA,NA,NA,20,5,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,11,Noa Brach,So,MB,6-0,13,13,51,NA,90,45,228,0.197,2,NA,NA,14,1,3,55,8,38.5,120.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,14,Kamara Kelly,So,OH,6-0,13,13,51,NA,174,78,496,0.194,13,13,13,179,12,1,25,1,14.5,200.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,UMBC,America East,6,Kayla Tomas,So,DS,5-7,14,7,49,NA,2,0,4,0.5,3,1,5,103,16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,UMBC,America East,14,Kamani Conteh,So,OH,5-10,4,2,13,NA,29,9,60,0.333,NA,NA,NA,1,1,NA,8,1,5,33,NA,NA,NA,NA,NA,NA,NA
2020-2021,UMBC,America East,17,Emily Ferketic,So,RS,6-2,15,13,54,NA,105,56,326,0.15,3,11,14,66,1,1,40,1,22,137,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,3,Julia Black,So,S,6-0,12,1,35,1,43,10,127,0.26,NA,NA,NA,11,1,1,14,NA,13,51,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,13,Paige Johnson,So,OH,6-0,2,NA,2,NA,0,0,2,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,14,Anela Davis,So,MB,6-0,4,4,16,2,18,6,57,0.211,NA,2,6,4,NA,3,10,1,12,28,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,19,Madeline Wynn,So,MB,6-2,13,13,39,8,47,28,157,0.121,NA,NA,NA,5,NA,4,32,3,31.5,67,1,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,6,Amelia Moore,So,MB,6-5,16,16,53,4,122,33,262,0.34,NA,15,13,19,NA,5,49,6,39.5,166.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,18,Grace Dynda,So,OH,5-11,16,NA,16,NA,4,3,11,0.091,1,3,4,5,NA,NA,1,NA,0.5,7.5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,22,Livie Sandt,So,S,5-10,6,0,9,NA,2,1,7,0.143,48,3,1,4,NA,NA,1,1,2,5.5,NA,NA,NA,NA,NA,NA,NA
