Season,Team,Conference,Number,Player,Yr,Pos,Ht,GP,GS,S,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,TB,PTS,BHE,Trpl Dbl,SrvAtt,RetAtt,Dbl Dbl,Hometown,High School,TeamID
2020-2021,Boston College,ACC,8,Clare Naughton,Sr,OH,6-1,17,17,59,NA,155,65,535,0.168,9,7,12,139,20,5,13,NA,11.5,173.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Boston College,ACC,14,Amaka Chukwujekwu,Sr,MB,5-11,17,17,59,NA,95,38,193,0.295,NA,NA,3,19,NA,3,42,2,26,119,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,5,Lisie Kit,Sr,S,5-10,16,NA,16,NA,0,0,1,0,5,2,1,20,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,6,Alyssa Deloney,Sr,MH,6-0,4,4,13,NA,20,5,46,0.326,1,5,4,4,1,NA,12,1,7,31,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Clemson,ACC,99,Madi Howell,Sr,L/DS,5-6,23,NA,23,NA,0,0,1,0,15,6,2,73,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,11,Payton Schwantz,Sr,OH,5-11,19,16,70,NA,160,65,438,0.217,8,7,13,152,16,1,22,NA,12,179,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,12,Summer Brown,Sr,MB,6-5,2,NA,2,NA,1,0,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,15,Kincey Smith,Sr,DS,5-8,4,1,9,NA,0,0,0,NA,2,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duke,ACC,17,Franky Harrison,Sr,OH,5-10,19,6,66,NA,17,14,80,0.038,5,4,13,116,21,NA,4,NA,2,23,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,4,Jasmyn Martin,Sr,OH,6-3,18,18,65,NA,184,69,469,0.245,1,4,18,55,2,2,41,4,26.5,210.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,5,Caleigh Morrison,Sr,MB,6-4,1,1,1,NA,0,1,2,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,13,Taryn Knuth,Sr,MB,6-3,14,12,50,NA,123,11,204,0.549,8,NA,3,21,NA,10,59,2,41.5,162.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,14,Caroline Golden,Sr,L,5-9,63,NA,63,NA,2,3,23,-0.043,59,13,14,169,14,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,20,Olivia Dailey,Sr,S,5-10,17,13,62,NA,18,7,90,0.122,477,24,9,144,NA,1,24,4,17,55,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Florida St.,ACC,47,Amari Williams,Sr,MB,6-2,3,2,8,NA,9,0,26,0.346,1,NA,NA,NA,NA,1,5,1,4.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Georgia Tech,ACC,5,Grace Rigsbee,Sr,RS,6-2,15,NA,15,NA,3,2,11,0.091,1,1,NA,3,NA,NA,1,1,1.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,5,Piper Roe,Sr,MB,6-2,1,1,3,NA,5,1,6,0.667,NA,NA,NA,NA,NA,NA,5,NA,2.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Louisville,ACC,8,Alexis Hamilton,Sr,L/DS,5-7,18,0,61,NA,2,1,6,0.167,41,14,20,212,6,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,6,Janet Kalaniuvalu,Sr,OH,6-2,18,14,70,NA,143,78,482,0.135,6,7,41,93,3,NA,27,5,18.5,163.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,7,Madison Dill,Sr,MB,6-3,4,NA,4,NA,1,0,6,0.167,NA,NA,2,NA,NA,NA,1,NA,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Miami (FL),ACC,9,Elizaveta Lukianova,Sr,OH,6-6,18,16,69,NA,317,124,706,0.273,2,8,9,59,1,13,32,2,31,354,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,3,Melissa Evans,Sr,OPP,6-1,16,16,58,NA,230,95,607,0.222,14,13,33,146,NA,NA,31,3,18.5,258.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,NC State,ACC,9,Mmachi Nwoke,Sr,MB,6-1,9,2,20,NA,12,9,43,0.07,NA,4,6,6,NA,1,10,NA,6,22,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Carolina,ACC,3,Aristea Tontai,Sr,MB,6-4,14,8,42,NA,44,16,112,0.25,3,15,16,21,NA,3,37,3,25,80.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,7,Monroe Olsen,Sr,S,6-2,44,NA,44,NA,1,0,4,0.25,4,12,13,36,NA,NA,1,NA,0.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Notre Dame,ACC,14,Hannah Thompson,Sr,OH,5-9,19,19,70,NA,102,36,249,0.265,1,4,7,12,NA,4,76,5,47,148,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,5,Chinaza Ndee,Sr,RS,5-11,24,24,88,1,297,91,682,0.302,10,7,11,63,1,4,79,5,50,347.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,6,Kylee Levers,Sr,S,6-0,23,14,85,1,2,3,15,-0.067,472,12,27,116,NA,NA,1,NA,0.5,14.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,9,Marija Popovic,Sr,L/DS,5-5,48,NA,48,NA,0,0,5,0,26,2,12,113,11,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,10,Zoi Faki,Sr,OH,6-1,24,3,72,NA,23,9,63,0.222,9,10,9,41,6,1,3,1,3.5,35.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Pittsburgh,ACC,23,Kayla Lund,Sr,OH,6-0,24,24,88,1,329,139,805,0.236,23,36,32,260,13,3,42,4,29,389,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,7,Ella Saada,Sr,OH,6-1,16,15,59,NA,134,69,423,0.154,9,7,11,118,20,NA,15,6,13.5,148.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,13,Yuliia Yastrub,Sr,OH,6-2,16,13,53,NA,88,31,280,0.204,9,7,5,114,4,2,28,1,17,111,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Syracuse,ACC,15,Dana Gardner,Sr,MB,6-3,2,NA,2,NA,1,1,3,0,NA,NA,NA,NA,NA,NA,1,NA,0.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,2,Alexandra Spencer,Sr,L/DS,5-11,14,1,49,NA,6,5,31,0.032,21,6,12,231,18,NA,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,4,Christine Jarman,Sr,OH,6-0,14,10,44,NA,89,45,258,0.171,3,3,2,78,21,1,15,2,10.5,100.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,6,Megan Wilson,Sr,S,5-10,14,14,49,NA,6,5,31,0.032,444,8,6,70,NA,NA,9,1,5.5,18.5,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia,ACC,21,Sarah Blakely,Sr,OH,6-0,14,13,49,NA,137,56,383,0.211,1,13,25,38,NA,4,23,2,17.5,165.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,10,Kylie Thomas,Sr,L/DS,5-7,56,NA,56,NA,0,0,1,0,2,6,3,67,1,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,19,Marisa Cerchio,Sr,MB,6-3,15,14,57,NA,152,43,350,0.311,2,NA,NA,25,3,5,41,2,27.5,177.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Virginia Tech,ACC,22,Kai Young,Sr,MB,5-11,13,8,41,NA,35,19,86,0.186,NA,NA,NA,2,1,3,28,4,21,52,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,3,Alysia Nielson,Sr,L/DS,5-6,15,3,35,NA,0,1,1,-1,1,3,4,24,16,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,4,Madeline Holt,Sr,S,5-11,16,16,59,1,28,15,73,0.178,399,9,22,88,1,1,17,1,10.5,46.5,7,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,10,Caroline Kuhn,Sr,OH,6-2,16,13,58,1,170,71,463,0.214,4,4,12,55,22,3,16,1,12,185,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,13,Jaclyn Childress,Sr,MB,6-1,5,1,9,NA,4,3,21,0.048,NA,NA,NA,3,NA,NA,2,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Wake Forest,ACC,16,Paige Sebesta,Sr,OH,6-1,16,0,58,NA,3,0,9,0.333,29,5,19,157,24,NA,1,NA,0.5,8.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,8,Chrysanthi Stamatiou,Sr,OH,6-0,17,15,54,NA,119,77,426,0.099,4,8,10,121,23,2,8,2,8,133,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,15,Abbie Oetting,Sr,MH,6-2,17,16,63,NA,130,49,328,0.247,2,6,7,32,NA,7,40,4,31,163,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,18,Izzie Salameh,Sr,MB,6-0,9,6,28,NA,48,18,118,0.254,NA,NA,NA,7,1,3,10,NA,8,56,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Bellarmine,ASUN,19,Karleigh Wilson,Sr,L/DS,5-5,60,NA,60,NA,0,0,3,0,36,7,7,242,19,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,11,Alayna Ryan,Sr,OH,5-11,17,1,59,NA,4,0,4,1,10,9,24,85,1,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,FGCU,ASUN,12,Cortney VanLiew,Sr,OH,5-11,17,17,59,NA,221,77,615,0.234,16,9,20,140,18,1,21,2,13.5,241.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,2,Avery Perosa,Sr,L/DS,5-7,61,NA,61,NA,3,1,8,0.25,42,12,10,226,18,NA,NA,NA,NA,15,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,11,Madison Rayam,Sr,RS,5-10,9,4,23,NA,25,15,85,0.118,1,1,1,5,NA,1,8,NA,5,31,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Jacksonville,ASUN,21,Hannah Edelman,Sr,OH,5-6,16,10,57,1,87,64,350,0.066,14,12,16,123,22,NA,3,1,1.5,100.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,13,Lauren Chastang,Sr,OH,5-11,14,14,49,NA,198,90,512,0.211,6,23,51,104,9,1,26,4,18,235,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kennesaw St.,ASUN,17,Karlee Groover,Sr,L/DS,5-8,49,NA,49,NA,0,1,2,-0.5,27,11,11,187,7,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,1,Amaya Williams,Sr,S,5-9,14,14,47,NA,12,3,60,0.15,417,6,8,118,NA,1,19,5,15.5,28.5,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Liberty,ASUN,10,Kainah Williams,Sr,MB,6-2,14,12,39,NA,65,28,138,0.268,4,5,11,23,NA,4,40,2,27,94,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,1,Megan Kuper,Sr,OH,6-0,20,20,69,NA,229,87,611,0.232,28,23,45,173,13,NA,41,1,21.5,272.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,4,Alyssa Zwolensky,Sr,L/DS,5-7,61,NA,61,NA,0,0,1,0,15,11,16,249,20,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,5,Ashley Maher,Sr,L/DS,5-4,20,4,69,NA,0,2,8,-0.25,31,24,14,156,5,NA,NA,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Lipscomb,ASUN,15,Samantha Rubal,Sr,MB,6-3,20,18,69,NA,196,47,369,0.404,3,3,6,20,NA,5,47,17,45.5,227.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,3,Gabby O'Connell,Sr,OH,6-0,20,20,76,NA,248,111,739,0.185,20,18,19,212,31,5,25,6,23.5,283.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,North Florida,ASUN,9,Miriam Stingl,Sr,OH,6-2,8,1,21,NA,28,11,88,0.193,NA,NA,NA,13,NA,1,7,NA,4.5,32.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,6,Chelcie Spence,Sr,DS,5-2,52,NA,52,NA,1,0,7,0.143,42,12,12,266,9,NA,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stetson,ASUN,12,Naina Ivanova,Sr,L,5-9,14,14,52,NA,38,17,122,0.172,505,15,12,143,NA,4,16,10,22,65,12,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,2,Elizabeth Kaner,Sr,DS,5-2,10,0,23,NA,0,0,1,0,2,2,2,34,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,11,Stephanie Andruskova,Sr,OH,6-2,1,0,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,13,Elis Gadelha,Sr,MH,6-1,5,0,9,NA,12,5,31,0.226,NA,1,3,6,NA,NA,4,NA,2,15,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Binghamton,America East,18,Francela Ulate,Sr,OH,5-10,12,12,42,NA,138,79,432,0.137,8,25,38,93,25,2,15,2,11.5,172.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,4,Lacey Zadra,Sr,MB,5-11,9,NA,9,NA,0,0,0,NA,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,5,Megan Anderson,Sr,S,5-11,10,10,33,NA,8,3,41,0.122,347,12,10,66,NA,1,8,2,7,25,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,15,Abby Nash,Sr,OH,5-11,10,10,33,NA,145,59,377,0.228,4,1,1,50,5,1,6,NA,4,150,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Hartford,America East,23,Brittany Braun,Sr,MB,6-0,10,10,33,NA,45,19,138,0.188,2,NA,1,11,1,3,29,5,22.5,62.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,New Hampshire,America East,15,Emma Patlovich,Sr,S,5-11,9,9,33,NA,16,3,47,0.277,219,15,13,77,NA,NA,3,NA,1.5,32.5,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Stony Brook,America East,12,Kiani Kerstetter,Sr,L,5-2,50,NA,50,NA,1,1,11,0,33,6,9,199,7,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UAlbany,America East,23,Danielle Tedesco,Sr,MB,6-3,13,13,51,NA,130,35,271,0.351,7,5,11,31,NA,3,45,4,29.5,160.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,UMBC,America East,1,Loren Teter,Sr,DS,5-6,57,NA,57,NA,0,0,12,0,49,17,15,248,16,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,UMBC,America East,12,Anouk van Noord,Sr,RS,6-2,14,3,51,NA,182,59,449,0.274,4,NA,3,31,4,6,17,1,15.5,196.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,9,Remi Lehnertz,Sr,OH,5-10,13,6,35,3,68,60,297,0.027,1,7,8,57,9,3,5,1,6.5,80.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Davidson,Atlantic 10,10,Sydney Champaigne,Sr,S,5-11,13,9,47,7,6,1,21,0.238,227,4,7,82,1,NA,NA,1,NA,10,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,7,Bridget Doherty,Sr,S,5-10,16,16,55,4,78,17,167,0.365,553,13,18,97,NA,2,25,6,21.5,105.5,3,NA,NA,NA,NA,NA,NA,NA
2020-2021,Dayton,Atlantic 10,9,Mahalia Swink,Sr,OH,6-0,15,12,51,3,71,39,197,0.162,14,5,10,48,7,3,38,1,27,98,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duquesne,Atlantic 10,2,Maria Mosbacher,Sr,OH,5-11,9,7,28,1,55,30,190,0.132,1,NA,NA,12,2,NA,13,4,11,61.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Duquesne,Atlantic 10,3,Claire Boe,Sr,DS,5-8,9,1,29,NA,0,1,2,-0.5,4,8,7,44,13,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Fordham,Atlantic 10,18,Mckenna Lahr,Sr,OH,5-10,10,9,36,3,90,32,274,0.212,8,7,6,127,12,2,14,NA,12,106,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Mason,Atlantic 10,22,Alessia Del Romano,Sr,OH,5-9,2,1,7,NA,6,5,33,0.03,1,NA,2,14,3,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Washington,Atlantic 10,12,Sydney Welch,Sr,L,5-4,9,7,35,2,0,0,1,0,6,10,7,70,11,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Washington,Atlantic 10,13,Callie Fauntleroy,Sr,MB,6-2,9,9,35,3,61,19,171,0.246,3,NA,NA,3,1,5,30,4,27,81,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,George Washington,Atlantic 10,14,Ashley Waggle,Sr,OH,6-0,10,9,39,3,105,46,288,0.205,5,5,19,75,11,4,23,3,21,125.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,La Salle,Atlantic 10,7,Samantha Graver,Sr,OH,5-10,2,2,8,NA,27,11,89,0.18,1,6,6,19,1,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,La Salle,Atlantic 10,12,Reilly Lowe,Sr,MB,6-2,8,8,31,5,71,26,181,0.249,2,NA,6,6,NA,4,11,NA,14,80.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Rhode Island,Atlantic 10,5,Annie Ell,Sr,S,5-8,15,15,54,9,4,3,13,0.077,461,20,19,119,1,1,12,2,11.5,31,25,NA,NA,NA,NA,NA,NA,NA
2020-2021,Rhode Island,Atlantic 10,11,Natale Zanellato,Sr,OH,6-0,15,9,45,7,94,46,289,0.166,4,4,1,54,6,2,12,NA,13.5,106,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Rhode Island,Atlantic 10,13,Megan Byra,Sr,L,5-7,8,NA,8,NA,0,0,0,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Rhode Island,Atlantic 10,15,Claire Chaplinsky,Sr,OH,6-0,15,12,54,8,179,87,538,0.171,9,14,15,129,21,3,9,3,12.5,200.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Saint Louis,Atlantic 10,1,Emily Day,Sr,DS,5-3,4,1,4,1,0,0,0,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Saint Louis,Atlantic 10,4,Maya Taylor,Sr,OH,5-11,18,17,66,10,238,120,718,0.164,13,20,21,128,29,6,10,2,14.5,269,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Saint Louis,Atlantic 10,11,Margaret Rosburg,Sr,DS,5-9,6,1,10,1,0,0,0,NA,NA,1,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Saint Louis,Atlantic 10,12,Juliana Phillips,Sr,MB,6-4,18,8,66,5,124,54,318,0.22,5,14,13,34,NA,4,26,5,26.5,155,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Saint Louis,Atlantic 10,17,Kennedy Cordia,Sr,S,5-6,18,18,66,11,19,6,66,0.197,629,21,34,159,NA,2,15,4,17.5,49.5,5,NA,NA,NA,NA,NA,NA,NA
2020-2021,VCU,Atlantic 10,15,Veronica Brod Farias,Sr,MB,6-1,11,NA,11,NA,22,6,65,0.246,1,1,NA,3,NA,1,7,NA,4.5,27.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,VCU,Atlantic 10,18,Paula Neciporuka,Sr,OH,5-8,18,18,61,5,166,65,483,0.209,13,24,11,214,11,1,21,NA,15,201.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Baylor,Big 12,2,Andressa Parise,Sr,MB,6-3,6,4,17,NA,13,3,21,0.476,1,NA,NA,3,NA,3,19,1,13.5,25.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Baylor,Big 12,14,Hannah Sedwick,Sr,S,6-1,16,11,65,NA,47,12,107,0.327,455,NA,15,82,NA,2,47,3,30,72.5,22,NA,NA,NA,NA,NA,NA,NA
2020-2021,Baylor,Big 12,15,Preslie Anderson,Sr,MB,6-2,10,8,36,1,28,8,83,0.241,3,NA,NA,13,1,4,38,NA,25,51,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Baylor,Big 12,20,Lache Harper,Sr,MB,6-2,15,12,49,NA,29,7,70,0.314,1,NA,NA,7,NA,2,48,3,29,55,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Baylor,Big 12,22,Yossiana Pressley,Sr,OH,6-0,27,27,104,1,488,186,1214,0.249,15,10,39,203,16,11,48,9,44.5,533,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Iowa St.,Big 12,7,Izzy Enna,Sr,L,5-8,78,NA,78,NA,4,0,7,0.571,63,15,27,341,13,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Iowa St.,Big 12,11,Piper Mauck,Sr,S,6-1,16,9,52,NA,32,16,81,0.198,458,9,12,114,NA,3,21,NA,13.5,54.5,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Iowa St.,Big 12,17,Candelaria Herrera,Sr,MB,6-1,14,14,56,NA,132,48,310,0.271,6,10,13,38,NA,6,56,3,37,176,NA,0,NA,NA,NA,NA,NA,NA
2020-2021,Kansas,Big 12,4,Sara Nielsen,Sr,S,5-11,8,5,32,1,7,1,14,0.429,161,5,6,43,NA,NA,2,1,2,13,6,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kansas,Big 12,7,Jenny Mosser,Sr,OH,5-11,18,18,68,NA,229,68,647,0.249,16,22,21,169,20,6,25,2,20.5,269.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Kansas St.,Big 12,11,Shelby Martin,Sr,S,5-10,16,15,56,NA,48,16,113,0.283,532,11,14,103,NA,NA,12,2,8,65,9,1,NA,NA,NA,NA,NA,NA
2020-2021,Oklahoma,Big 12,9,Keyton Kinley,Sr,DS,5-5,67,NA,67,NA,2,1,8,0.125,64,9,14,261,9,NA,NA,NA,NA,11,2,NA,NA,NA,NA,NA,NA,NA
2020-2021,Oklahoma,Big 12,10,Sarah Maras,Sr,OH,6-1,15,12,54,NA,82,32,252,0.198,4,4,11,19,5,1,34,2,20,104,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Oklahoma,Big 12,13,Sarah Sanders,Sr,OH,6-4,14,11,52,NA,79,41,252,0.151,4,NA,NA,11,NA,4,41,3,27.5,103.5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Oklahoma,Big 12,15,Kira Morikawa,Sr,DS,5-7,4,NA,4,NA,0,0,0,NA,NA,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,TCU,Big 12,7,Dani Dennison,Sr,L/DS,5-7,21,4,82,NA,2,1,6,0.167,41,19,18,287,16,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,TCU,Big 12,10,Berklie Baker,Sr,L/DS,5-9,9,5,38,NA,0,0,1,0,4,7,9,63,3,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,TCU,Big 12,16,Calli Novak,Sr,OH,6-1,5,NA,5,NA,4,2,16,0.125,1,NA,NA,3,1,NA,2,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,TCU,Big 12,34,Sarah Swanson,Sr,MB,6-2,8,6,29,NA,38,14,97,0.247,1,1,9,6,NA,1,14,4,12,47,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas,Big 12,9,Ashley Shook,Sr,S,6-1,35,NA,35,NA,2,0,5,0.4,21,NA,NA,1,NA,1,7,NA,4.5,6.5,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas,Big 12,16,Morgan O'Brien,Sr,DS,5-8,27,3,85,NA,1,1,4,0,45,28,25,273,23,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas Tech,Big 12,1,Haley Harman,Sr,RS,6-1,2,2,8,NA,5,1,22,0.182,1,NA,NA,2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas Tech,Big 12,5,Emerson Solano,Sr,L/DS,5-7,61,NA,61,NA,0,1,8,-0.125,44,11,20,263,15,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas Tech,Big 12,9,Allison Bloss,Sr,MB,6-2,16,16,62,NA,85,19,199,0.332,4,11,4,42,NA,6,38,2,27,121,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,Texas Tech,Big 12,22,Samantha Sanders,Sr,OH,6-2,22,21,85,NA,305,121,937,0.196,17,15,48,178,27,4,18,1,14,333,1,NA,NA,NA,NA,NA,NA,NA
2020-2021,West Virginia,Big 12,7,Alexa Hasting,Sr,L/DS,5-10,86,NA,86,NA,0,1,6,-0.167,65,8,19,328,18,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
2020-2021,West Virginia,Big 12,9,Alison Thomas,Sr,DS,5-6,1,NA,1,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
